domain,label,source,domain_age_days
airtel-broadband-plans.today,Suspected,training_set,-1
airtel-broadband-plans-near-you.sbs,Suspected,training_set,362
airtelstarlink.org,Suspected,training_set,361
airtelstarlinks.in,Suspected,training_set,-1
airtellink.com,Suspected,training_set,360
airtel.firm.in,Suspected,training_set,334
airtelfiber.in,Suspected,training_set,-1
airtelxtream.co.in,Suspected,training_set,321
bhartairtel.co.in,Suspected,training_set,-1
airtelairfiber.in,Suspected,training_set,300
airtelxtreamonline.in,Suspected,training_set,-1
bhartiairtelfoundation.co.in,Suspected,training_set,301
airtelvb.top,Suspected,training_set,287
airtelonebroadband.top,Suspected,training_set,285
airtel-merchants.services,Suspected,training_set,-1
bankofbarodabank.in,Suspected,training_set,396
bankofbarodafin.in,Suspected,training_set,394
bankofbarodaworld.co.in,Suspected,training_set,397
1bankofbaroda.co.in,Suspected,training_set,-1
thebankofbaroda.in,Suspected,training_set,567
bankofbarodaa.co.in,Suspected,training_set,-1
bankofbaroda0.co.in,Suspected,training_set,413
bankofbarodarewa.co.in,Suspected,training_set,-1
dc-crsorgi-gov.site,Phishing,training_set,-1
crsverifycertificate.in,Phishing,training_set,-1
dc.crsorge.in,Phishing,training_set,-1
dc.crsorgi.gov.in.crs.vievvcert.info,Phishing,training_set,-1
crsor-go.shop,Phishing,training_set,-1
crsorgi-gov.xyz,Phishing,training_set,382
janma-mrityutathya.shop,Phishing,training_set,-1
csrorgi-gov.shop,Phishing,training_set,-1
www.dc.crsorgi.gov.in.verifycertificate.shop,Phishing,training_set,-1
www.dc.crsorgi.gov.in.web.index.php.apnaqafila.shop,Phishing,training_set,-1
www.acadmey.mange.project.indaxs.in,Phishing,training_set,432
birth.giantechnical.in,Phishing,training_set,405
verificagovv.xyz,Phishing,training_set,321
www.service.findapi.info,Phishing,training_set,-1
error404.remgoerrocount.xyz,Phishing,training_set,-1
dc.crsorgi.gov.in.verifyc.xyz,Phishing,training_set,-1
onlineservice.shop,Phishing,training_set,-1
dc.crsorgi.govi.ltd,Phishing,training_set,-1
my.babaprint1.xyz,Phishing,training_set,-1
dc.crsorgi.gov.in.webi.ltd,Phishing,training_set,-1
dc.crsorgi.gov.in.index-view.shop,Phishing,training_set,-1
dc.crsorgi.gov.in.tech-site.info,Phishing,training_set,-1
dc.pgoneindia.shop,Phishing,training_set,-1
crsorgi.gov.in.verifycertificate.shop,Phishing,training_set,-1
dc.crsorgi.gov.in.adverify.in,Phishing,training_set,-1
dcrsorgi.store,Phishing,training_set,-1
dc.birth.dccrsorgi-govv.live,Phishing,training_set,-1
dc.crsorgi.gov.in.viewcard.in,Phishing,training_set,1073
verifycertificate.cloud,Phishing,training_set,260
crsorginewindex.store,Suspected,training_set,-1
adharprint.dccrsorgi-govv.live,Suspected,training_set,-1
crsorgi.gov.in.viewcard.in,Suspected,training_set,1073
crsorgi.gov.in.w.viewcard.in,Suspected,training_set,1073
crsorgi.gov.in.web.index.php.viewcard.in,Suspected,training_set,1073
dc.crsorgi.gov.in.crovimng.online,Suspected,training_set,-1
passportt.dccrsorgi-govv.live,Suspected,training_set,-1
rtps.dccrsorgi-govv.live,Suspected,training_set,-1
ucl.dccrsorgi-govv.live,Suspected,training_set,-1
crsgov.click,Suspected,training_set,437
crsorgigob.xyz,Suspected,training_set,-1
crsorgigovbirth.info,Suspected,training_set,-1
dccrsorgigov-in.in,Suspected,training_set,-1
crsgovbirth.xyz,Suspected,training_set,-1
crsorgiportal.com,Suspected,training_set,448
dc.crs-orgi.com,Suspected,training_set,-1
dc.crsorgi.gov.logln.in,Suspected,training_set,393
www.birth.ypuclportala.xyz,Suspected,training_set,-1
www.dc.crsorgi.gov.in.index.viewscrit.org,Suspected,training_set,-1
yashcrsportal.site,Suspected,training_set,-1
crsorg.xyz,Suspected,training_set,-1
dc-crs-org-gov.xyz,Suspected,training_set,389
dc-crsorgi-gov.shop,Suspected,training_set,-1
dc-crsorgive-gov.xyz,Suspected,training_set,394
dccrsorgi.shop,Suspected,training_set,-1
crsorgi-gov-in.store,Suspected,training_set,-1
dc-crsorgi-gov.xyz,Suspected,training_set,366
dc-crsorgi.co.in,Suspected,training_set,354
dccrsorgigovinverficrs.in,Suspected,training_set,-1
dc.crsorgi-gov.xyz,Suspected,training_set,-1
www.dc.crsorgi.gov.in.verifyinfo.xyz,Suspected,training_set,-1
www.dc.crsorgi.gov.in.web.dc-crsorgi.shop,Suspected,training_set,-1
dccrsorgi-govv.live,Suspected,training_set,-1
crs.verifycertificatecrs.live,Suspected,training_set,-1
dcinfinityorg.site,Suspected,training_set,339
crsorg-dccertificate.sbs,Suspected,training_set,-1
crsorgi-gout.in,Suspected,training_set,336
dccrsorgionline.in,Suspected,training_set,335
dccrsorgigovin.website,Suspected,training_set,-1
crsorgi-birh.in,Suspected,training_set,-1
dc-verifycertificate.org.in,Suspected,training_set,320
dc.crsorgi-gov.live,Suspected,training_set,-1
dc.crsorgi.gov.in.verifycertificate.fun,Suspected,training_set,-1
dc.crsorgi.gov.in.crs.verifycertificate.org,Suspected,training_set,-1
dc.crsorgi.gov.in.techdc.shop,Suspected,training_set,-1
deluxonlineservice.shop,Suspected,training_set,-1
crsorgi.gov.in.govi.ltd,Suspected,training_set,-1
dc.crsorgi.gov.in.pgoneindia.shop,Suspected,training_set,-1
dc.crsorgi.gov.in.web.lndax.xyz,Suspected,training_set,-1
dc.crsorgi.gov.in.web.php.lndax.xyz,Suspected,training_set,-1
dc.crsorgi.gov.in.web.phpii.site,Suspected,training_set,-1
dcc.crsorgi.gov.in.viewall.in,Suspected,training_set,622
www.dc.crsorgi.gov.in.crs.xpsdigi.solutions,Suspected,training_set,-1
www.dc.crsorgi.gov.in.indxn.xyz,Suspected,training_set,-1
crsorgi.net,Suspected,training_set,754
dccrsorgi-gov-in.shop,Phishing,training_set,-1
dccrsorgi-gov-in.today,Phishing,training_set,-1
dccrsorgi.in,Phishing,training_set,62
dccrsorg.xyz,Phishing,training_set,-1
crsorgigovdc.shop,Phishing,training_set,-1
crsorgin.fun,Phishing,training_set,-1
crsorgigov.xyz,Phishing,training_set,-1
crsorgi-gvo.tech,Phishing,training_set,-1
dc-crsorg.in,Phishing,training_set,-1
crsorgibirth.shop,Phishing,training_set,-1
crsapi.cloud,Suspected,training_set,-1
crs-api.com,Suspected,training_set,-1
crsapi.vip,Suspected,training_set,-1
crsapi.xyz,Suspected,training_set,173
crsorggi.xyz,Suspected,training_set,-1
crsorgigov.cloud,Suspected,training_set,-1
crsorgigove.fun,Suspected,training_set,-1
crsorgigove.shop,Suspected,training_set,-1
crsorgi-goverment.online,Suspected,training_set,-1
crsorgigovi.shop,Suspected,training_set,-1
crsorgi-gov-in.digital,Suspected,training_set,-1
crs-orgi-govment.online,Suspected,training_set,-1
crsorgi-in.org,Suspected,training_set,-1
crsorgov.com,Suspected,training_set,-1
crsroigov.online,Suspected,training_set,-1
crcorgi-gov.online,Suspected,training_set,-1
crseoigov.online,Suspected,training_set,-1
crsergov.online,Suspected,training_set,-1
crsgovgov.online,Suspected,training_set,-1
crsgovi.tech,Suspected,training_set,-1
crsgoviiorg.site,Suspected,training_set,-1
crsgovlive.xyz,Suspected,training_set,-1
crsorg.space,Suspected,training_set,-1
crsorg-gov.life,Suspected,training_set,-1
crsorggov.tech,Suspected,training_set,607
crsorgib-gov.xyz,Suspected,training_set,-1
crsorgiclick.cloud,Suspected,training_set,-1
crsorgiegov.com,Suspected,training_set,-1
crsorgi--gov.live,Suspected,training_set,-1
crsorgigov.org,Suspected,training_set,-1
crsorgigovein.website,Suspected,training_set,-1
crsorgigovi.store,Suspected,training_set,-1
crsorgigovin.online,Suspected,training_set,-1
crsorgii.online,Suspected,training_set,-1
crsorginet.site,Suspected,training_set,-1
crsorgovin.org,Suspected,training_set,615
dc-crsorgi-gov-in.info,Suspected,training_set,-1
dc-crsorgi.online,Suspected,training_set,-1
dccrsorggov.xyz,Suspected,training_set,-1
dccrsorggovin.xyz,Suspected,training_set,-1
dccrsorgi-gov-in.live,Suspected,training_set,-1
crsorgi.info,Suspected,training_set,-1
crsorgi.org.in,Suspected,training_set,0
crsorgi-gov1.in,Suspected,training_set,-1
crsorgii.in,Suspected,training_set,-1
crsorgiisite.co.in,Suspected,training_set,-1
crsorgs.in,Suspected,training_set,-1
csrogir-gov.online,Suspected,training_set,-1
dc-crsorg.co.in,Suspected,training_set,-1
dccrsorgg.in,Suspected,training_set,-1
crsorgigoovi.live,Suspected,training_set,-1
crsorgi-gov-in.buzz,Suspected,training_set,-1
crsorgi-gov-in-web.online,Suspected,training_set,-1
crsorgigovt.xyz,Suspected,training_set,126
crsorgio.online,Suspected,training_set,-1
dccrsorgi.live,Suspected,training_set,-1
rgdccrsorgi.xyz,Suspected,training_set,-1
crsgov-in.shop,Suspected,training_set,-1
crsorgigoov.info,Suspected,training_set,-1
crsorgi-gov-in-index-web.shop,Suspected,training_set,-1
crsorgi-gov-in-viawcert.site,Suspected,training_set,-1
acscrsorgi.in,Suspected,training_set,-1
crsgov-co.in,Suspected,training_set,-1
crsorgigovs.co.in,Suspected,training_set,-1
crsorgovs.in,Suspected,training_set,-1
dccrsorgi.co.in,Suspected,training_set,546
crsorggi.co.in,Suspected,training_set,-1
crsorgi-gov-in-index.online,Suspected,training_set,-1
crsgovorg.in,Suspected,training_set,-1
auths.info,Suspected,training_set,-1
dcindex.xyz,Suspected,training_set,-1
inbex.info,Suspected,training_set,-1
workfast.in,Suspected,training_set,430
verifycertificatecrs.live,Suspected,training_set,-1
crsorgi-gov-in.live,Suspected,training_set,-1
crsorgigov-in.online,Suspected,training_set,-1
dc-crsorgii-gov.online,Suspected,training_set,-1
dc-crsorgii-goiv.in,Suspected,training_set,-1
dccrsorgigoov.in,Suspected,training_set,-1
crsorgi-gov-in-index.site,Suspected,training_set,-1
crsorg.fun,Suspected,training_set,-1
crsorgigo.site,Suspected,training_set,-1
csrorgi.info,Suspected,training_set,-1
crsorgiio.store,Suspected,training_set,-1
crsorgonlinebirthdeth.in,Suspected,training_set,-1
crsorgi-gove.shop,Suspected,training_set,-1
dccrsorggovrk.xyz,Suspected,training_set,-1
dccrsorgigov.shop,Suspected,training_set,-1
crsorgigovv.xyz,Suspected,training_set,-1
crsorg.buzz,Suspected,training_set,-1
crsorgigov-certificate.xyz,Suspected,training_set,-1
crsorgonline.xyz,Suspected,training_set,-1
dc-crsorgi-gov.online,Suspected,training_set,429
crsorgi-gov-xyz.in,Suspected,training_set,-1
crsorgie.org.in,Suspected,training_set,-1
crsorgi-gov.online,Suspected,training_set,-1
crsorgig.org.in,Suspected,training_set,415
dc-crsorgi-in.site,Suspected,training_set,-1
crsgovernment.tech,Suspected,training_set,-1
crsorgii.store,Suspected,training_set,-1
dc-crsorgie-gov.xyz,Suspected,training_set,403
dc-crsorgii-gov.xyz,Suspected,training_set,407
crsogi-gov-in.website,Suspected,training_set,402
acadmey.mange.project.indaxs.in,Suspected,training_set,432
dc-crsorgi-gov-in.ja-ai.shop,Suspected,training_set,-1
dc.crsorgi.gov-in.live,Suspected,training_set,-1
dc.crsorgi.gov.in.lndex.pl,Suspected,training_set,-1
mail.dc.crsorgi.gov.in.web.phpii.site,Suspected,training_set,-1
ww25.cpanel.crsorgi.gov.in.index.php.recidenceup.xyz,Suspected,training_set,-1
ww25.crsorgi.gov.in.bdvr.co,Suspected,training_set,-1
www.dc.crsorgi.gov.in.sevamaster.shop,Suspected,training_set,-1
www.dcr.crsorgi.gov.in.viewall.in,Suspected,training_set,622
crsorgi-govs.in,Suspected,training_set,524
crsorgidc.co.in,Suspected,training_set,519
crsorgigoov.co.in,Suspected,training_set,-1
crsorgii-govi.in,Suspected,training_set,-1
hdfcl.in,Suspected,training_set,-1
hdfcbanklogin.com,Phishing,training_set,395
myhdfccard.com,Phishing,training_set,395
hdfcardcare.com,Phishing,training_set,369
hdrewardcard.com,Phishing,training_set,262
hdfcbank.red,Suspected,training_set,-1
hdfcbank.city,Suspected,training_set,-1
hdfcbanks.live,Suspected,training_set,-1
hdfcbd.com,Suspected,training_set,-1
hdfcrewardz.in,Suspected,training_set,-1
myhdfc.in,Suspected,training_set,423
hdfc-home-loan-538066002.today,Suspected,training_set,-1
hdfcvg.com,Suspected,training_set,-1
hdfcsec.co.in,Suspected,training_set,370
hdfcbank.services,Suspected,training_set,-1
hdfccredilaloan.net,Suspected,training_set,332
hdfc-home-253888985.click,Suspected,training_set,308
hdfc-home-336577138.click,Suspected,training_set,308
hdfcsupport.info,Suspected,training_set,-1
hdfc-bank-internet-banking.cfd,Suspected,training_set,301
hdfc-sif.in,Suspected,training_set,298
hdfcsif.in,Suspected,training_set,298
hdfc-bank.cfd,Suspected,training_set,275
hd23-df3.firebaseapp.com,Phishing,training_set,-1
hd09-fc98.firebaseapp.com,Phishing,training_set,-1
hd5h-mk5.firebaseapp.com,Phishing,training_set,-1
ewew-b4d13.firebaseapp.com,Phishing,training_set,-1
hd15-nmh1.firebaseapp.com,Phishing,training_set,-1
h-11av.firebaseapp.com,Phishing,training_set,-1
hdiy-3a.firebaseapp.com,Phishing,training_set,-1
bfse-5378c.firebaseapp.com,Phishing,training_set,-1
hd-1fa.firebaseapp.com,Phishing,training_set,-1
hd2-fy.firebaseapp.com,Phishing,training_set,-1
hdfccapital.net,Phishing,training_set,-1
hdfcbankvyapar.com,Phishing,training_set,980
hdfcbankdinersclub.in,Suspected,training_set,-1
hdfcmutualfund.co.in,Suspected,training_set,589
hdfcmutualfunds.co.in,Suspected,training_set,589
hdfcbankabslitraining.in,Suspected,training_set,-1
hdfcalerts.in,Suspected,training_set,-1
hdfcpay.in,Suspected,training_set,-1
hdfcmfsipsaheli.in,Suspected,training_set,579
ahdfcy.com,Suspected,training_set,512
hdfc-bank.in,Suspected,training_set,-1
hdfcbank.app,Suspected,training_set,-1
hdfcbank.ninja,Suspected,training_set,-1
hdfcbank.pink,Suspected,training_set,-1
hdfcbank.science,Suspected,training_set,-1
hdfcbank.sale,Suspected,training_set,-1
hdfcbank.bet,Suspected,training_set,-1
hdfcbank.bingo,Suspected,training_set,-1
hdfcbank.black,Suspected,training_set,-1
hdfcbank.business,Suspected,training_set,-1
hdfcbank.buzz,Suspected,training_set,-1
hdfcbank.cash,Suspected,training_set,-1
hdfcbank.chat,Suspected,training_set,-1
hdfcbank.cheap,Suspected,training_set,-1
hdfcbank.construction,Suspected,training_set,-1
hdfcbank.directory,Suspected,training_set,-1
hdfcbank.florist,Suspected,training_set,-1
hdfcbank.furniture,Suspected,training_set,-1
hdfcbank.gifts,Suspected,training_set,-1
hdfcbank.golf,Suspected,training_set,-1
hdfcbank.industries,Suspected,training_set,-1
hdfcbank.institute,Suspected,training_set,-1
hdfcbank.marketing,Suspected,training_set,-1
hdfcbank.news,Suspected,training_set,-1
hdfcbank.camp,Suspected,training_set,-1
hdfcbank.careers,Suspected,training_set,-1
hdfcbank.contact,Suspected,training_set,-1
hdfcbank.engineer,Suspected,training_set,-1
hdfcbank.live,Suspected,training_set,-1
hdfcbank.coach,Suspected,training_set,-1
hdfcbank.computer,Suspected,training_set,-1
hdfcbank.events,Suspected,training_set,-1
hdfcbank.clinic,Suspected,training_set,-1
hdfcbank.delivery,Suspected,training_set,-1
hdfcbank.faith,Suspected,training_set,-1
hdfcbank.football,Suspected,training_set,-1
hdfcbank.fund,Suspected,training_set,-1
hdfcbank.irish,Suspected,training_set,-1
hdfcbank.kaufen,Suspected,training_set,-1
hdfcbank.markets,Suspected,training_set,-1
hdfcbank.media,Suspected,training_set,-1
hdfcbank.solar,Suspected,training_set,-1
hdfcbank.singles,Suspected,training_set,-1
hdfcbank.party,Suspected,training_set,-1
hdfcbank.pizza,Suspected,training_set,-1
hdfcbank.school,Suspected,training_set,-1
hdfcbank-ypb.in,Suspected,training_set,554
hdfcbankfinance.net,Suspected,training_set,558
hdfcsecurities.in,Suspected,training_set,530
hdfcorg.co.in,Suspected,training_set,532
yyhdfcci.shop,Suspected,training_set,-1
hdfcai.net,Suspected,training_set,-1
hdfcbank.today,Suspected,training_set,-1
hdfconline.co.in,Suspected,training_set,-1
hdfc-story.xyz,Suspected,training_set,-1
hdfcbankinfo.co.in,Suspected,training_set,-1
hdfc-banking.co.in,Suspected,training_set,-1
hdfcco.co.in,Suspected,training_set,-1
hdfc-loans.in,Suspected,training_set,-1
hdfcbank.store,Suspected,training_set,-1
hdfc.net.in,Suspected,training_set,300
hdfcm.com,Suspected,training_set,499
alerts-hdfcbank.net,Suspected,training_set,-1
thehdfc.co.in,Suspected,training_set,-1
thehdfc.net.in,Suspected,training_set,-1
thehdfc.in,Suspected,training_set,-1
hffcbank.com,Suspected,training_set,7264
hdfcbank.poker,Suspected,training_set,-1
hdfcbanknet.info,Suspected,training_set,-1
hdfcpolicy.in,Suspected,training_set,-1
dchdfcbank.com,Suspected,training_set,-1
hdfcbank.games,Suspected,training_set,-1
hdfcbank.support,Suspected,training_set,-1
hdfbank.com,Suspected,training_set,65
hdfcbak.com,Suspected,training_set,7951
hdfcbani.com,Suspected,training_set,-1
hdfcbank.ltd,Suspected,training_set,-1
hdfcbank.uk,Suspected,training_set,-1
hdfcbanki.com,Suspected,training_set,-1
hdfcbanl.com,Suspected,training_set,7879
hdfcbsnk.com,Suspected,training_set,-1
hdfcbwnk.com,Suspected,training_set,-1
hdfcnank.com,Suspected,training_set,2010
hdfcergopolicyrenewalinsurances.in,Suspected,training_set,-1
hdfcbankonline.in,Suspected,training_set,-1
hdfc.ind.in,Suspected,training_set,-1
hdfcbankltd.in,Suspected,training_set,-1
hdfcsa1es.co.in,Suspected,training_set,-1
loginhdfc.in,Suspected,training_set,-1
mycardhdfc.in,Suspected,training_set,-1
hdfcodes.site,Suspected,training_set,429
hdfcretail.in,Suspected,training_set,428
hdfcsales.info,Suspected,training_set,-1
hdfchousingfinance.com,Suspected,training_set,415
hdfcbank.netportall.com,Suspected,training_set,-1
hdfccareer.in,Suspected,training_set,384
hdfc.com.in,Suspected,training_set,389
hdfcergorenewal.in,Suspected,training_set,-1
hdfcsecurities.co.in,Suspected,training_set,388
myaccounthdfclife.co.in,Suspected,training_set,-1
hdfcbankloan.in,Suspected,training_set,379
hdfcbankcreditcard.in,Suspected,training_set,-1
hdfcincrase.today,Suspected,training_set,-1
hdfcbanking.org,Suspected,training_set,374
hdfcergoinsurancerenewal.in,Suspected,training_set,-1
workonlinehdfcbank.com,Suspected,training_set,404
xhdfc.com,Suspected,training_set,360
hdfc-bonus.cfd,Suspected,training_set,273
hd94-fc67.firebaseapp.com,Phishing,training_set,-1
whsh01-ksj18.firebaseapp.com,Phishing,training_set,-1
hcfc-b6a51.firebaseapp.com,Phishing,training_set,-1
sks08-akwo22.firebaseapp.com,Phishing,training_set,-1
hdx6-hdr6.firebaseapp.com,Phishing,training_set,-1
hdsxd1.firebaseapp.com,Phishing,training_set,-1
hda18-ms1.firebaseapp.com,Phishing,training_set,-1
hd31-md1.firebaseapp.com,Phishing,training_set,-1
hd22-mu2x.firebaseapp.com,Phishing,training_set,-1
hd21-mkw1.firebaseapp.com,Phishing,training_set,-1
hd4s-kp4d.firebaseapp.com,Phishing,training_set,-1
hd3s-kour4.firebaseapp.com,Phishing,training_set,-1
hdec-f13ed.firebaseapp.com,Phishing,training_set,-1
jsjjs09-d097e.firebaseapp.com,Phishing,training_set,-1
hd1-mka1.firebaseapp.com,Phishing,training_set,-1
hd2a-mkae2.firebaseapp.com,Phishing,training_set,-1
hd1-mkd1.firebaseapp.com,Phishing,training_set,-1
hbcd-f016c.firebaseapp.com,Phishing,training_set,-1
hd-mkf24.firebaseapp.com,Phishing,training_set,-1
hd4w-kfd4.firebaseapp.com,Phishing,training_set,-1
hd8r-mkfd8s.firebaseapp.com,Phishing,training_set,-1
hd6-ms6d.firebaseapp.com,Phishing,training_set,-1
hd4-mfh4d.firebaseapp.com,Phishing,training_set,-1
hd3-md3x.firebaseapp.com,Phishing,training_set,-1
hxz-55yt.firebaseapp.com,Phishing,training_set,-1
trde-bef50.firebaseapp.com,Phishing,training_set,-1
aaaqq-89cae.firebaseapp.com,Phishing,training_set,-1
hd-1wi.firebaseapp.com,Phishing,training_set,-1
hdasw-44086.firebaseapp.com,Phishing,training_set,-1
hyt-1fa.firebaseapp.com,Phishing,training_set,-1
yuhh-b49cd.firebaseapp.com,Phishing,training_set,-1
awsz-81822.firebaseapp.com,Phishing,training_set,-1
ljhy-128fd.firebaseapp.com,Phishing,training_set,-1
nmcv-5cc34.firebaseapp.com,Phishing,training_set,-1
dfkjd-b7601.firebaseapp.com,Phishing,training_set,-1
hgjk-7354f.firebaseapp.com,Phishing,training_set,-1
kilik-eb4d5.firebaseapp.com,Phishing,training_set,-1
dfjf-b29b1.firebaseapp.com,Phishing,training_set,-1
mnjde-b2973.firebaseapp.com,Phishing,training_set,-1
fekjre-df4e4.firebaseapp.com,Phishing,training_set,-1
fyyu-3f1de.firebaseapp.com,Phishing,training_set,-1
ewkw-a4ef1.firebaseapp.com,Phishing,training_set,-1
erwe-3b3d0.firebaseapp.com,Phishing,training_set,-1
dfkdd-b3641.firebaseapp.com,Phishing,training_set,-1
jai-amma.firebaseapp.com,Phishing,training_set,-1
radhe--jai.firebaseapp.com,Phishing,training_set,-1
ukfr-c5da9.firebaseapp.com,Phishing,training_set,-1
shya-pjt9.firebaseapp.com,Phishing,training_set,-1
hd-ujfc1.firebaseapp.com,Phishing,training_set,-1
dfg-kmn.firebaseapp.com,Phishing,training_set,-1
rane-1d1ee.firebaseapp.com,Phishing,training_set,-1
hdfcergoinsurancerenewpolicy.in,Suspected,training_set,-1
hdfcergorenewhealthinsurancepolicy.in,Suspected,training_set,-1
hdfcergohealthinsurancerenewyourpolicyhere.in,Suspected,training_set,-1
hdfcergogeneralhealthinsurance.in,Suspected,training_set,-1
hdfcergopolicyrenewhere.in,Suspected,training_set,-1
hdfcergopolicyrenewinsurances.in,Suspected,training_set,-1
hdfcergorenewinsurancehere.in,Suspected,training_set,-1
hdfcergorenewalpolicy.in,Suspected,training_set,-1
hdfcergopolicyrenewalinsurance.in,Phishing,training_set,-1
el-hdfclife.in,Suspected,training_set,-1
hdfclife-el.in,Suspected,training_set,-1
el-hdfclife.co.in,Suspected,training_set,290
loginicici.com,Phishing,training_set,395
icici-india.com,Phishing,training_set,395
icicilogin.com,Phishing,training_set,395
country3.icicibank.adobecqms.net,Phishing,training_set,-1
icicibctk.icu,Phishing,training_set,-1
icicibank-coin.buzz,Phishing,training_set,341
icicibank-coin.top,Phishing,training_set,341
icicincion.top,Phishing,training_set,341
icicibank-nwnb.top,Phishing,training_set,-1
icici-paypoint.cfd,Phishing,training_set,-1
icici-paypoint.sbs,Phishing,training_set,-1
icici-paypoint.top,Phishing,training_set,-1
icici-paypoints.cfd,Phishing,training_set,-1
icici-paypoints.sbs,Phishing,training_set,-1
icici-paylink.cfd,Phishing,training_set,306
icici-paylink.xyz,Phishing,training_set,306
imobileservices.online,Phishing,training_set,-1
country1.icicibank.adobecqms.net,Phishing,training_set,-1
icicibahnk.com,Suspected,training_set,-1
icicibajnk.com,Suspected,training_set,-1
icicibanc.com,Suspected,training_set,-1
icicibasnk.com,Suspected,training_set,247
icicibamnk.com,Suspected,training_set,247
iciciappstore.in,Suspected,training_set,436
icicicardapp.co.in,Suspected,training_set,423
icicidirectfin.in,Suspected,training_set,394
icicifin.in,Suspected,training_set,396
icicibank.tech,Suspected,training_set,-1
iciciinfor.website,Suspected,training_set,372
icicicoins.sbs,Suspected,training_set,331
icici-game.in,Suspected,training_set,330
icicichest.in,Suspected,training_set,-1
icicicarloans.in,Suspected,training_set,319
icici-paylink.sbs,Suspected,training_set,306
icicib.co.in,Suspected,training_set,306
iciciback.top,Suspected,training_set,309
icicibank.online,Suspected,training_set,311
icicibank.website,Suspected,training_set,311
icicibazk.top,Suspected,training_set,308
icicibxek.shop,Suspected,training_set,-1
icicibxsak.shop,Suspected,training_set,-1
icicibxsek.shop,Suspected,training_set,-1
icicibxsrk.shop,Suspected,training_set,-1
iciciibank.top,Suspected,training_set,-1
icici.homes,Suspected,training_set,666
icicibankcareer.xyz,Suspected,training_set,301
icicibankpersonalloan.xyz,Suspected,training_set,301
points-icici.cfd,Suspected,training_set,301
points-icici.click,Suspected,training_set,301
points-icici.top,Suspected,training_set,301
points-icici.xyz,Suspected,training_set,301
icici.xyz,Suspected,training_set,-1
icicimua520.xyz,Suspected,training_set,287
imobile.services,Suspected,training_set,-1
icicilbank.vip,Suspected,training_set,282
icicillbank.vip,Suspected,training_set,282
iciciibank.vip,Suspected,training_set,280
icicibanka.sbs,Suspected,training_set,354
icicirewardspro.in,Phishing,training_set,-1
icicibak.com,Phishing,training_set,7515
icicirewardstore.in,Suspected,training_set,-1
icicipruamc.co.in,Suspected,training_set,-1
icicicreditcards.in,Suspected,training_set,-1
mycardicici.in,Suspected,training_set,-1
icicipruamc.in,Suspected,training_set,573
icicicard.xyz,Suspected,training_set,-1
iciciapp.in,Suspected,training_set,-1
mycardicici.co.in,Suspected,training_set,-1
icici-bank.org.in,Suspected,training_set,-1
icicibankstatement.co.in,Suspected,training_set,-1
iciciapp.co.in,Suspected,training_set,-1
iciciicard.in,Suspected,training_set,-1
