domain,label,source,domain_length,digit_ratio,dot_ratio,num_hyphens,hyphen_ratio,num_special_chars,special_char_ratio,subdomain_count,brand_keyword_position,registered_domain_length,has_cse_keyword_in_subdomain,is_malicious_gtld,brand_to_reg_length_ratio,min_brand_levenshtein,has_brand_in_path,has_ip,has_repeated_digits,consonant_ratio,vowel_ratio,longest_consonant_run,is_punycode,subdomain_depth,is_common_tld,tld_length,entropy,has_login,has_signin,has_secure,has_account,has_verify,has_update,has_support,has_banking,has_paypal,has_auth,has_security,has_confirm,has_https,domain_age_days,has_ssl,is_lets_encrypt,cert_domain_matches,has_mx,has_spf,cert_age_days,cert_days_remaining,a_record_count,ttl_value
airtel-merchants.net,Suspected,training_set,20.0,0.0,0.05,1.0,0.05,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.3,0.6666666666666666,0.0,0.0,0.0,0.6,0.3,3.0,0.0,0.0,1.0,3.0,3.546439344671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
postpaidairtel.in,Suspected,training_set,17.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.3529411764705882,99.0,0.0,0.0,0.0,0.5294117647058824,0.4117647058823529,3.0,0.0,0.0,0.0,2.0,3.4548223999466066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412,0,0,0,0,0,-1,-1,0,-1
airtel.exchange,Suspected,training_set,15.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.5333333333333333,0.4,3.0,0.0,0.0,0.0,8.0,3.456564762130953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,1,1,-1,-1,2,297
airtelpayment.online,Suspected,training_set,20.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,0.3,0.3333333333333333,0.0,0.0,0.0,0.55,0.4,2.0,0.0,0.0,0.0,6.0,3.446439344671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,1,1,-1,-1,1,3596
airtel-5gg.top,Suspected,training_set,14.0,0.0714285714285714,0.0714285714285714,1.0,0.0714285714285714,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.4285714285714285,0.6666666666666666,0.0,0.0,0.0,0.5,0.2857142857142857,2.0,0.0,0.0,0.0,3.0,3.521640636343319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtelmerchnat.co.in,Suspected,training_set,20.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.55,0.35,4.0,0.0,1.0,0.0,2.0,3.5219280948873624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373,0,0,0,0,0,-1,-1,2,593
airtel-ericsson.com,Suspected,training_set,19.0,0.0,0.0526315789473684,1.0,0.0526315789473684,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.3157894736842105,0.6666666666666666,0.0,0.0,0.0,0.5263157894736842,0.3684210526315789,3.0,0.0,0.0,1.0,3.0,3.616348566075164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377,0,0,0,0,0,-1,-1,2,593
airtel-broadband-plans.today,Suspected,training_set,28.0,0.0,0.0357142857142857,2.0,0.0714285714285714,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.2142857142857142,0.6,0.0,0.0,0.0,0.5714285714285714,0.3214285714285714,2.0,0.0,0.0,0.0,5.0,3.722907494321881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,0,-1,-1,0,-1
airtel-broadband-plans-near-you.sbs,Suspected,training_set,35.0,0.0,0.0285714285714285,4.0,0.1142857142857142,0.0,0.0,0.0,1.0,35.0,0.0,1.0,0.1714285714285714,0.3333333333333333,0.0,0.0,0.0,0.5428571428571428,0.3142857142857143,3.0,0.0,0.0,0.0,3.0,3.797020431713803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,0,0,0,0,0,-1,-1,0,-1
airtelstarlink.org,Suspected,training_set,18.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.6111111111111112,0.3333333333333333,3.0,0.0,0.0,1.0,3.0,3.461320140211008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361,0,0,0,0,0,-1,-1,0,-1
