domain,label,source,domain_length,digit_ratio,dot_ratio,num_hyphens,hyphen_ratio,num_special_chars,special_char_ratio,subdomain_count,brand_keyword_position,registered_domain_length,has_cse_keyword_in_subdomain,is_malicious_gtld,brand_to_reg_length_ratio,min_brand_levenshtein,has_brand_in_path,has_ip,has_repeated_digits,is_common_tld,tld_length,entropy,has_login,has_signin,has_secure,has_account,has_verify,has_update,has_support,has_banking,has_paypal,has_auth,has_security,has_confirm,has_https
airtelspacex.in,Suspected,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.0,2.0,3.506890595608519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.cloud,Suspected,training_set,12.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,99.0,0.0,0.0,0.0,0.0,5.0,3.4182958340544896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelrdc.shop,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,4.0,3.6644977792004623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelhd.biz,Suspected,training_set,12.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,3.418295834054489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelmerchnats.net,Suspected,training_set,19.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.3157894736842105,0.6666666666666666,0.0,0.0,0.0,1.0,3.0,3.4316235658474303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airteldataloan.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.0,2.0,3.146286370662105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-merchants.shop,Suspected,training_set,21.0,0.0,0.047619047619047616,1.0,0.047619047619047616,0.0,0.0,0.0,1.0,21.0,0.0,1.0,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,4.0,3.820888851350188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelpay.world,Phishing,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,5.0,3.5068905956085192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-quickrecharge.world,Phishing,training_set,26.0,0.0,0.038461538461538464,1.0,0.038461538461538464,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.23076923076923078,0.75,0.0,0.0,0.0,0.0,5.0,3.9021748142117274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelstream.in,Suspected,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.0,2.0,3.240223928941852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhartiairtelnet.in,Suspected,training_set,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,99.0,0.0,0.0,0.0,0.0,2.0,3.1971597234241487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel121.in,Suspected,training_set,12.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,3.2516291673878226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-merchant.co.in,Suspected,training_set,21.0,0.0,0.09523809523809523,1.0,0.047619047619047616,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.0,2.0,3.6304126608739984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-5g.net,Suspected,training_set,13.0,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.46153846153846156,0.6666666666666666,0.0,0.0,0.0,1.0,3.0,3.3927474104487847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-ug.info,Suspected,training_set,14.0,0.0,0.07142857142857142,1.0,0.07142857142857142,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.42857142857142855,0.75,0.0,0.0,0.0,0.0,4.0,3.6644977792004623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airteliqalerts.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.0,2.0,3.2195282822995477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airteliqmail.in,Suspected,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.0,2.0,3.106890595608519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelinfotel.in,Suspected,training_set,16.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.375,99.0,0.0,0.0,0.0,0.0,2.0,3.202819531114783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelretailer.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.0,2.0,2.895423870280316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.org.in,Suspected,training_set,13.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,2.0,3.238901256602631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhartiairtel.live,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0,0.35294117647058826,1.0,0.0,0.0,0.0,0.0,4.0,3.2195282822995477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhartiairtel.online,Suspected,training_set,19.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,1.0,0.3157894736842105,0.3333333333333333,0.0,0.0,0.0,0.0,6.0,3.3660913291191923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelconnect.com,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,0.6666666666666666,0.0,0.0,0.0,1.0,3.0,3.337175341123077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelstore.co.in,Suspected,training_set,17.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.0,2.0,3.381580488309164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airteldtd.in,Suspected,training_set,12.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,3.084962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.website,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,99.0,0.0,0.0,0.0,0.0,7.0,3.182005814760214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelprize.in,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,99.0,0.0,0.0,0.0,0.0,2.0,3.182005814760214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelapp.xyz,Suspected,training_set,13.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.46153846153846156,0.5,0.0,0.0,0.0,0.0,3.0,3.392747410448785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelcare.net,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,1.0,3.0,3.039148671903071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-merchants.net,Suspected,training_set,20.0,0.0,0.05,1.0,0.05,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.3,0.6666666666666666,0.0,0.0,0.0,1.0,3.0,3.546439344671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postpaidairtel.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.0,2.0,3.4548223999466066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.exchange,Suspected,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.0,8.0,3.456564762130954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelpayment.online,Suspected,training_set,20.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,0.3,0.3333333333333333,0.0,0.0,0.0,0.0,6.0,3.446439344671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-5gg.top,Suspected,training_set,14.0,0.07142857142857142,0.07142857142857142,1.0,0.07142857142857142,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,0.0,3.0,3.521640636343319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelmerchnat.co.in,Suspected,training_set,20.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.0,2.0,3.521928094887362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-ericsson.com,Suspected,training_set,19.0,0.0,0.05263157894736842,1.0,0.05263157894736842,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.3157894736842105,0.6666666666666666,0.0,0.0,0.0,1.0,3.0,3.616348566075164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-broadband-plans.today,Suspected,training_set,28.0,0.0,0.03571428571428571,2.0,0.07142857142857142,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.21428571428571427,0.6,0.0,0.0,0.0,0.0,5.0,3.7229074943218805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-broadband-plans-near-you.sbs,Suspected,training_set,35.0,0.0,0.02857142857142857,4.0,0.11428571428571428,0.0,0.0,0.0,1.0,35.0,0.0,1.0,0.17142857142857143,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,3.797020431713804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelstarlink.org,Suspected,training_set,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,1.0,3.0,3.461320140211008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelstarlinks.in,Suspected,training_set,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,99.0,0.0,0.0,0.0,0.0,2.0,3.239097917988786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtellink.com,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,1.0,3.0,3.521640636343319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.firm.in,Suspected,training_set,14.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,0.0,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,2.0,3.182005814760214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelfiber.in,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,99.0,0.0,0.0,0.0,0.0,2.0,3.182005814760214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelxtream.co.in,Suspected,training_set,18.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.0,2.0,3.503258334775645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhartairtel.co.in,Suspected,training_set,17.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.0,2.0,3.4992275471326932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelairfiber.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.0,2.0,3.101881223476018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelxtreamonline.in,Suspected,training_set,21.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.2857142857142857,99.0,0.0,0.0,0.0,0.0,2.0,3.3320953986601696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhartiairtelfoundation.co.in,Suspected,training_set,28.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.0,2.0,3.6995138503199656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelvb.top,Suspected,training_set,12.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,3.418295834054489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelonebroadband.top,Suspected,training_set,22.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,1.0,0.2727272727272727,0.6666666666666666,0.0,0.0,0.0,0.0,3.0,3.481714572986073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-merchants.services,Suspected,training_set,25.0,0.0,0.04,1.0,0.04,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.24,99.0,0.0,0.0,0.0,0.0,8.0,3.6234651896016463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankofbarodabank.in,Suspected,training_set,19.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.631578947368421,99.0,0.0,0.0,0.0,0.0,2.0,3.1158340921632206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankofbarodafin.in,Suspected,training_set,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.0,2.0,3.197159723424149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankofbarodaworld.co.in,Suspected,training_set,23.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,2.4,99.0,0.0,0.0,0.0,0.0,2.0,3.534219021180341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1bankofbaroda.co.in,Suspected,training_set,19.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,2.4,0.08333333333333333,0.0,0.0,0.0,0.0,2.0,3.431623565847431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thebankofbaroda.in,Suspected,training_set,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.0,2.0,3.5724312513221195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankofbarodaa.co.in,Suspected,training_set,19.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,2.4,0.08333333333333333,0.0,0.0,0.0,0.0,2.0,3.2608281712244556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankofbaroda0.co.in,Suspected,training_set,19.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,2.4,0.08333333333333333,0.0,0.0,0.0,0.0,2.0,3.431623565847431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankofbarodarewa.co.in,Suspected,training_set,22.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,2.4,99.0,0.0,0.0,0.0,0.0,2.0,3.51602764126623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
