domain,label,source,domain_length,digit_ratio,dot_ratio,num_hyphens,hyphen_ratio,num_special_chars,special_char_ratio,subdomain_count,brand_keyword_position,registered_domain_length,has_cse_keyword_in_subdomain,is_malicious_gtld,brand_to_reg_length_ratio,min_brand_levenshtein,has_brand_in_path,has_ip,has_repeated_digits,consonant_ratio,vowel_ratio,longest_consonant_run,is_punycode,subdomain_depth,is_common_tld,tld_length,entropy,has_login,has_signin,has_secure,has_account,has_verify,has_update,has_support,has_banking,has_paypal,has_auth,has_security,has_confirm,has_https
airtel365.com,Suspected,training_set,13.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.46153846153846156,0.5,0.0,0.0,0.0,0.38461538461538464,0.3076923076923077,2.0,0.0,0.0,1.0,3.0,3.7004397181410926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-merchants.site,Suspected,training_set,21.0,0.0,0.047619047619047616,1.0,0.047619047619047616,0.0,0.0,0.0,1.0,21.0,0.0,1.0,0.2857142857142857,0.5,0.0,0.0,0.0,0.5714285714285714,0.3333333333333333,3.0,0.0,0.0,0.0,4.0,3.5585186130489057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelmerchnat.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.5882352941176471,0.35294117647058826,4.0,0.0,0.0,0.0,2.0,3.381580488309164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.club,Suspected,training_set,11.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.5454545454545454,0.36363636363636365,2.0,0.0,0.0,0.0,4.0,3.277613436819116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel121co.in,Suspected,training_set,14.0,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,99.0,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,2.0,0.0,0.0,0.0,2.0,3.521640636343319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelfin.in,Suspected,training_set,12.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.4166666666666667,2.0,0.0,0.0,0.0,2.0,3.0220552088742005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelmerchants.in,Suspected,training_set,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,99.0,0.0,0.0,0.0,0.6111111111111112,0.3333333333333333,3.0,0.0,0.0,0.0,2.0,3.5032583347756456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelwifi.in,Suspected,training_set,13.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.46153846153846156,99.0,0.0,0.0,0.0,0.46153846153846156,0.46153846153846156,2.0,0.0,0.0,0.0,2.0,3.085055102756477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-5g.top,Suspected,training_set,13.0,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.46153846153846156,0.6666666666666666,0.0,0.0,0.0,0.46153846153846156,0.3076923076923077,2.0,0.0,0.0,0.0,3.0,3.5465935642949384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtele.xyz,Suspected,training_set,11.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.5454545454545454,0.16666666666666666,0.0,0.0,0.0,0.5454545454545454,0.36363636363636365,3.0,0.0,0.0,0.0,3.0,3.277613436819116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelericsson.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.5294117647058824,0.4117647058823529,3.0,0.0,0.0,0.0,2.0,3.337175341123077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelrechargeplan.com,Suspected,training_set,22.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.2727272727272727,0.6666666666666666,0.0,0.0,0.0,0.5909090909090909,0.36363636363636365,2.0,0.0,0.0,1.0,3.0,3.629219686524096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelspacex.in,Suspected,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.5333333333333333,0.4,3.0,0.0,0.0,0.0,2.0,3.5068905956085183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.cloud,Suspected,training_set,12.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,99.0,0.0,0.0,0.0,0.5,0.4166666666666667,2.0,0.0,0.0,0.0,5.0,3.4182958340544896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelrdc.shop,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.6428571428571429,0.2857142857142857,4.0,0.0,0.0,0.0,4.0,3.6644977792004623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelhd.biz,Suspected,training_set,12.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,3.0,0.0,0.0,0.0,3.0,3.4182958340544896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelmerchnats.net,Suspected,training_set,19.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.3157894736842105,0.6666666666666666,0.0,0.0,0.0,0.631578947368421,0.3157894736842105,4.0,0.0,0.0,1.0,3.0,3.43162356584743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airteldataloan.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.47058823529411764,0.47058823529411764,2.0,0.0,0.0,0.0,2.0,3.1462863706621045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-merchants.shop,Suspected,training_set,21.0,0.0,0.047619047619047616,1.0,0.047619047619047616,0.0,0.0,0.0,1.0,21.0,0.0,1.0,0.2857142857142857,1.0,0.0,0.0,0.0,0.6190476190476191,0.2857142857142857,3.0,0.0,0.0,0.0,4.0,3.820888851350188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelpay.world,Phishing,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.6,0.3333333333333333,3.0,0.0,0.0,0.0,5.0,3.5068905956085183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-quickrecharge.world,Phishing,training_set,26.0,0.0,0.038461538461538464,1.0,0.038461538461538464,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.23076923076923078,0.75,0.0,0.0,0.0,0.5769230769230769,0.34615384615384615,3.0,0.0,0.0,0.0,5.0,3.902174814211727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelstream.in,Suspected,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.5333333333333333,0.4,4.0,0.0,0.0,0.0,2.0,3.2402239289418517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhartiairtelnet.in,Suspected,training_set,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,99.0,0.0,0.0,0.0,0.5555555555555556,0.3888888888888889,2.0,0.0,0.0,0.0,2.0,3.197159723424149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel121.in,Suspected,training_set,12.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,0.0,0.0,0.0,2.0,3.2516291673878226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-merchant.co.in,Suspected,training_set,21.0,0.0,0.09523809523809523,1.0,0.047619047619047616,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.5238095238095238,0.3333333333333333,3.0,0.0,1.0,0.0,2.0,3.630412660873998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-5g.net,Suspected,training_set,13.0,0.07692307692307693,0.07692307692307693,1.0,0.07692307692307693,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.46153846153846156,0.6666666666666666,0.0,0.0,0.0,0.46153846153846156,0.3076923076923077,2.0,0.0,0.0,1.0,3.0,3.3927474104487847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-ug.info,Suspected,training_set,14.0,0.0,0.07142857142857142,1.0,0.07142857142857142,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.42857142857142855,0.75,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,2.0,0.0,0.0,0.0,4.0,3.6644977792004623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airteliqalerts.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.5294117647058824,0.4117647058823529,3.0,0.0,0.0,0.0,2.0,3.2195282822995477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airteliqmail.in,Suspected,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.4666666666666667,0.4666666666666667,2.0,0.0,0.0,0.0,2.0,3.106890595608519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelinfotel.in,Suspected,training_set,16.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.375,99.0,0.0,0.0,0.0,0.5,0.4375,2.0,0.0,0.0,0.0,2.0,3.202819531114783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelretailer.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.47058823529411764,0.47058823529411764,2.0,0.0,0.0,0.0,2.0,2.8954238702803154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.org.in,Suspected,training_set,13.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,1.0,0.75,0.0,0.0,0.0,0.46153846153846156,0.38461538461538464,2.0,0.0,1.0,0.0,2.0,3.238901256602631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhartiairtel.live,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0,0.35294117647058826,1.0,0.0,0.0,0.0,0.5294117647058824,0.4117647058823529,2.0,0.0,0.0,0.0,4.0,3.2195282822995477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhartiairtel.online,Suspected,training_set,19.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,1.0,0.3157894736842105,0.3333333333333333,0.0,0.0,0.0,0.5263157894736842,0.42105263157894735,2.0,0.0,0.0,0.0,6.0,3.366091329119192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelconnect.com,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,0.6666666666666666,0.0,0.0,0.0,0.5882352941176471,0.35294117647058826,2.0,0.0,0.0,1.0,3.0,3.337175341123077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelstore.co.in,Suspected,training_set,17.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.47058823529411764,0.4117647058823529,3.0,0.0,1.0,0.0,2.0,3.381580488309164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airteldtd.in,Suspected,training_set,12.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5833333333333334,0.3333333333333333,4.0,0.0,0.0,0.0,2.0,3.084962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.website,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,99.0,0.0,0.0,0.0,0.5,0.42857142857142855,2.0,0.0,0.0,0.0,7.0,3.182005814760214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelprize.in,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,99.0,0.0,0.0,0.0,0.5,0.42857142857142855,3.0,0.0,0.0,0.0,2.0,3.182005814760214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelapp.xyz,Suspected,training_set,13.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.46153846153846156,0.5,0.0,0.0,0.0,0.6153846153846154,0.3076923076923077,3.0,0.0,0.0,0.0,3.0,3.3927474104487847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelcare.net,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,0.5,0.42857142857142855,2.0,0.0,0.0,1.0,3.0,3.039148671903071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-merchants.net,Suspected,training_set,20.0,0.0,0.05,1.0,0.05,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.3,0.6666666666666666,0.0,0.0,0.0,0.6,0.3,3.0,0.0,0.0,1.0,3.0,3.546439344671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postpaidairtel.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.5294117647058824,0.4117647058823529,3.0,0.0,0.0,0.0,2.0,3.4548223999466066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.exchange,Suspected,training_set,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.4,99.0,0.0,0.0,0.0,0.5333333333333333,0.4,3.0,0.0,0.0,0.0,8.0,3.456564762130953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelpayment.online,Suspected,training_set,20.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,0.3,0.3333333333333333,0.0,0.0,0.0,0.55,0.4,2.0,0.0,0.0,0.0,6.0,3.446439344671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-5gg.top,Suspected,training_set,14.0,0.07142857142857142,0.07142857142857142,1.0,0.07142857142857142,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,0.5,0.2857142857142857,2.0,0.0,0.0,0.0,3.0,3.521640636343319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelmerchnat.co.in,Suspected,training_set,20.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.55,0.35,4.0,0.0,1.0,0.0,2.0,3.5219280948873624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-ericsson.com,Suspected,training_set,19.0,0.0,0.05263157894736842,1.0,0.05263157894736842,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.3157894736842105,0.6666666666666666,0.0,0.0,0.0,0.5263157894736842,0.3684210526315789,3.0,0.0,0.0,1.0,3.0,3.6163485660751635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-broadband-plans.today,Suspected,training_set,28.0,0.0,0.03571428571428571,2.0,0.07142857142857142,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.21428571428571427,0.6,0.0,0.0,0.0,0.5714285714285714,0.32142857142857145,2.0,0.0,0.0,0.0,5.0,3.7229074943218805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel-broadband-plans-near-you.sbs,Suspected,training_set,35.0,0.0,0.02857142857142857,4.0,0.11428571428571428,0.0,0.0,0.0,1.0,35.0,0.0,1.0,0.17142857142857143,0.3333333333333333,0.0,0.0,0.0,0.5428571428571428,0.3142857142857143,3.0,0.0,0.0,0.0,3.0,3.797020431713803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelstarlink.org,Suspected,training_set,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,0.75,0.0,0.0,0.0,0.6111111111111112,0.3333333333333333,3.0,0.0,0.0,1.0,3.0,3.461320140211008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelstarlinks.in,Suspected,training_set,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.3333333333333333,99.0,0.0,0.0,0.0,0.6111111111111112,0.3333333333333333,3.0,0.0,0.0,0.0,2.0,3.2390979179887864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtellink.com,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,0.5714285714285714,0.35714285714285715,2.0,0.0,0.0,1.0,3.0,3.521640636343319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtel.firm.in,Suspected,training_set,14.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,0.0,0.8571428571428571,1.0,0.0,0.0,0.0,0.5,0.35714285714285715,2.0,0.0,1.0,0.0,2.0,3.182005814760214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelfiber.in,Suspected,training_set,14.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.42857142857142855,99.0,0.0,0.0,0.0,0.5,0.42857142857142855,2.0,0.0,0.0,0.0,2.0,3.182005814760214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelxtream.co.in,Suspected,training_set,18.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.5,0.3888888888888889,4.0,0.0,1.0,0.0,2.0,3.503258334775645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhartairtel.co.in,Suspected,training_set,17.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.2,99.0,0.0,0.0,0.0,0.5294117647058824,0.35294117647058826,2.0,0.0,1.0,0.0,2.0,3.4992275471326932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelairfiber.in,Suspected,training_set,17.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.35294117647058826,99.0,0.0,0.0,0.0,0.47058823529411764,0.47058823529411764,2.0,0.0,0.0,0.0,2.0,3.101881223476018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airtelxtreamonline.in,Suspected,training_set,21.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.2857142857142857,99.0,0.0,0.0,0.0,0.5238095238095238,0.42857142857142855,4.0,0.0,0.0,0.0,2.0,3.332095398660169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
